開始時間,結束時間,使用時長(秒),應用程式標題
2026-04-28 14:26:38,2026-04-28 14:26:43,5,(22) 🍜 【審判渣湯】由各位的判決 讓渣湯入監服刑！【白湯】 - YouTube - Google Chrome
2026-04-28 14:26:43,2026-04-28 14:26:48,5,(22) 訂閱內容 - YouTube - Google Chrome
2026-04-28 14:26:48,2026-04-28 14:26:53,5,(22) 🍜 【審判渣湯】由各位的判決 讓渣湯入監服刑！【白湯】 - YouTube - Google Chrome
2026-04-28 14:26:53,2026-04-28 14:26:58,5,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:26:58,2026-04-28 14:27:03,5,(22) 【Ado】綺羅（KIRA） - YouTube - Google Chrome
2026-04-28 14:27:03,2026-04-28 14:27:08,5,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:27:08,2026-04-28 14:27:18,10,#沒有伺服器主人仍持續運作的頻道 | 所以我說 能♂量呢 - Discord
2026-04-28 14:27:18,2026-04-28 14:27:48,30,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:27:48,2026-04-28 14:32:28,280,(22) 【Ado】綺羅（KIRA） - YouTube - Google Chrome
2026-04-28 14:32:28,2026-04-28 14:36:18,230,(22) jo0ji「よあけのうた」Official Music Video | TVアニメ『呪術廻戦』「死滅回游 前編」エンディングテーマ - YouTube - Google Chrome
2026-04-28 14:36:18,2026-04-28 14:41:58,340,(22) 宮本浩次－冬の花 - YouTube - Google Chrome
2026-04-28 14:41:58,2026-04-28 14:47:43,345,(22) レミオロメン - 粉雪 - YouTube - Google Chrome
2026-04-28 14:47:43,2026-04-28 14:51:58,255,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:51:58,2026-04-28 14:52:03,5,#沒有伺服器主人仍持續運作的頻道 | 所以我說 能♂量呢 - Discord
2026-04-28 14:52:03,2026-04-28 15:02:59,656,project1 - Antigravity - Extension: Rainbow CSV
